icao,iata,name,city,subd,country,lat,lon,lid
NULL,,Hardy Airport,Mount Auburn,US-IL,US,39.72589874267578,-89.26399993896484,05IS
05KS,,Darbro Field,Elk City,Kansas,US,37.26634,-95.95897,05KS
05KT,,High Point Farm Airport,Frankfort,Kentucky,US,38.1882,-84.9275,05KT
05KY,,Cartersville Airport,Berea,Kentucky,US,37.53556,-84.40722,05KY
05LA,,Greg's Flying Service Airport,Baskin,Louisiana,US,32.26542,-91.69792,05LA
05LS,,Grass Roots Airport,Alexandria,Louisiana,US,31.25222,-92.47583,05LS
05MD,,Breezecroft Airport,Chestertown,Maryland,US,39.24422,-76.19867,05MD
05ME,,Drisko Airport,Jonesboro,Maine,US,44.65702,-67.55916,05ME
05MT,,Jones Landing Airport,Belgrade,Montana,US,45.81663,-111.15214,05MT
05NE,,Mc Kay Airport,Spalding,Nebraska,US,41.72223,-98.30896,05NE
05NV,,Baker Ranches Airport,Baker,Nevada,US,39.02583,-114.095,05NV
05OH,,Eaglecrest Field,Conesville,Ohio,US,40.18467,-81.92063,05OH
NULL,,Dorlon Airpark,Columbia Station,US-OH,US,41.28839874267578,-81.96260070800781,05OI
05OR,,6 Ranch Airport,Enterprise,Oregon,US,45.44425,-117.34731,05OR
05PS,,Mills Brothers Airport,Burnt Cabins,Pennsylvania,US,40.14278,-77.86194,05PS
K05S,,Vernonia Municipal Airport,Vernonia,Oregon,US,45.85211,-123.24287,05S
05TA,,Brandes Air Field,Sealy,Texas,US,29.80908,-96.26396,05TA
05TE,,Hilde-Griff Field,Georgetown,Texas,US,30.72213,-97.7914,05TE
05TS,,Dew Drop Airport,Justin,Texas,US,33.12929,-97.35863,05TS
05TX,,Circle 'A' Ranch Airport,Blum,Texas,US,32.12917,-97.40417,05TX
K05V,,Blanca Airport,Blanca,Colorado,US,37.41112,-105.55168,05V
05VA,,Providence Airport,Farmville,Virginia,US,37.22417,-78.41861,05VA
05WI,,Ames Private Airport,Darien,Wisconsin,US,42.65112,-88.74594,05WI
05WN,,Flat Creek Field,Kettle Falls,Washington,US,48.70222,-118.0475,05WN
05XS,,Johnson Memorial Airport,Wilmot,Arkansas,US,33.0785,-91.56183,05XS
K05Y,,Henning Municipal Airport,Henning,Minnesota,US,46.30399,-95.44226,05Y
06AA,,Twisted Sisters Airport,Sterling,Alaska,US,60.54014,-150.81361,06AA
06AK,,June Lake Airpark,Wasilla,Alaska,US,61.62762,-149.57533,06AK
06AR,,Cy Bond Memorial Airport,Higden,Arkansas,US,35.54452,-92.18487,06AR
06CO,,Jecan Airport,Branson,Colorado,US,37.38751,-103.69106,06CO
06FA,,William P Gwinn Airport,Jupiter,Florida,US,26.90815,-80.32841,06FA
06FD,,Grass Roots Airpark,Mascotte,Florida,US,28.64167,-81.885,06FD
06IA,,Rich Field,Walford,Iowa,US,41.84014,-91.83441,06IA
06ID,,Larkin Airport,Kuna,Idaho,US,43.46267,-116.35901,06ID
06IL,,Humm Airport,Earlville,Illinois,US,41.59953,-88.86994,06IL
06IS,,Sinele Strip,Nauvoo,Illinois,US,40.54643,-91.27432,06IS
06MO,,Noahs Ark Airport,Waldron,Missouri,US,39.2,-94.8,06MO
06MT,,Torgerson Airport,Ethridge,Montana,US,48.55832,-112.1092,06MT
K06N,,Randall Airport,Middletown,New York,US,41.43191,-74.39156,06N
06NC,,Tailwinds Airport,St. Pauls,North Carolina,US,34.8275,-78.93028,06NC
NULL,,Fitterer's Strip,Glen Ullin,US-ND,US,46.7489013671875,-101.66899871826172,06ND
06NH,,Cole Farm Airport,Kensington,New Hampshire,US,42.92842,-70.97311,06NH
